transcription
ALLO GOOD AFTERNOON MY NEM IS ACHISHOCO AND  AND E AND AND I AM FROM MYTE
word,start timestamp,end timestamp,pause
ALLO,0.4206083579881657,0.6008690828402367,0
GOOD,0.9814195019723865,1.1015933185404339,0.3806
AFTERNOON,1.2417961045364891,1.6023175542406312,0.1402
MY,2.2632735453648913,2.363418392504931,0.661
NEM,2.4635632396449703,2.56370808678501,0.1001
IS,2.683881903353057,2.723939842209073,0.1202
ACHISHOCO,2.84411365877712,3.5451275887573965,0.1202
AND,4.506518121301775,4.626691937869822,0.9614
AND,5.367763806706114,5.447879684418146,0.7411
E,5.68822731755424,5.68822731755424,0.2403
AND,6.229009492110453,6.369212278106509,0.5408
AND,7.410718688362919,7.510863535502958,1.0415
I,7.7712401380670615,7.7712401380670615,0.2604
AM,8.031616740631163,8.091703648915187,0.2604
FROM,8.27196437376726,8.432196129191322,0.1803
MYTE,8.672543762327416,9.01303624260355,0.2403
